,Population,Election Date,Winner/Notes
Sugar Land,118600,11/03/2020,
Temple,76256,11/03/2020,
Texarkana,37295,11/03/2020,
Texas City,49153,11/03/2020,
Tyler,105729,11/03/2020,
Waco,138183,11/03/2020,
Waxahachie,36807,11/03/2020,
Wichita Falls,104576,11/03/2020,
Wylie,51585,11/03/2020,
Virginia
Leesburg,53917,11/03/2020,
Manassas,41641,11/03/2020,
Portsmouth,94632,11/03/2020,
Richmond,228783,11/03/2020,
Suffolk,91185,11/03/2020,
Virginia Beach,450189,11/03/2020,
Vermont
Montpelier,7436,11/03/2020,
West Virginia
Huntington,46048,11/03/2020,
Wyoming
Cheyenne,63957,11/03/2020,
Florida
Oakland Park,45339,11/15/2020,
California
Hermosa Beach,19465,11/24/2020,
Aliso Viejo,51783,12/01/2020,
Banning,31253,12/01/2020,
Bell Gardens,42331,12/01/2020,
Bellflower,77131,12/01/2020,
Brea,43601,12/01/2020,
Buena Park,82421,12/01/2020,
Burbank,103695,12/01/2020,
Burlingame,30467,12/01/2020,
Calabasas,23954,12/01/2020,
Camarillo,69127,12/01/2020,
Campbell,42466,12/01/2020,
Cathedral City,54902,12/01/2020,
Chino Hills,83447,12/01/2020,
Claremont,36478,12/01/2020,
Concord,129688,12/01/2020,
Corona,168819,12/01/2020,
Cupertino,60170,12/01/2020,
Cypress,48958,12/01/2020,
Daly City,107008,12/01/2020,
Danville,44650,12/01/2020,
Delano,53014,12/01/2020,
Diamond Bar,56275,12/01/2020,
Downey,112269,12/01/2020,
Folsom,79022,12/01/2020,
Foster City,34151,12/01/2020,
Fountain Valley,55814,12/01/2020,
Fullerton,139640,12/01/2020,
Hemet,85275,12/01/2020,
Hesperia,95274,12/01/2020,
Highland,55406,12/01/2020,
Huntington Beach,200641,12/01/2020,
Indio,91240,12/01/2020,
Jurupa Valley,108393,12/01/2020,
La Habra,62183,12/01/2020,
La Puente,39908,12/01/2020,
Laguna Hills,31024,12/01/2020,
Lake Elsinore,68183,12/01/2020,
Lake Forest,85623,12/01/2020,
Lakewood,80140,12/01/2020,
Lincoln,47978,12/01/2020,
Los Gatos,30680,12/01/2020,
Lynwood,70504,12/01/2020,
Manhattan Beach,35532,12/01/2020,
Mission Viejo,95202,12/01/2020,
Montclair,39437,12/01/2020,
Montebello,62632,12/01/2020,
Murrieta,114985,12/01/2020,
Newport Beach,85326,12/01/2020,
Novato,55655,12/01/2020,
Oakley,42129,12/01/2020,
Pacifica,38759,12/01/2020,
Palm Springs,48375,12/01/2020,
Placentia,51671,12/01/2020,
Pleasant Hill,34903,12/01/2020,
Porterville,59988,12/01/2020,
Rancho Cordova,74585,12/01/2020,
Rancho Palos Verdes,41928,12/01/2020,
Redding,91772,12/01/2020,
Redlands,71586,12/01/2020,
Rocklin,67221,12/01/2020,
Roseville,139117,12/01/2020,
San Jacinto,48867,12/01/2020,
Santa Cruz,64725,12/01/2020,
Santa Monica,91411,12/01/2020,
Santa Paula,30011,12/01/2020,
Santa Rosa,177586,12/01/2020,
South San Francisco,67733,12/01/2020,
Sunnyvale,153185,12/01/2020,
Thousand Oaks,127690,12/01/2020,
Tulare,64475,12/01/2020,
Tustin,79795,12/01/2020,
Ventura,111128,12/01/2020,
Victorville,122312,12/01/2020,
Walnut Creek,69825,12/01/2020,
West Covina,106311,12/01/2020,
Woodland,60531,12/01/2020,
Yorba Linda,67787,12/01/2020,
Yuba City,66992,12/01/2020,
Yucaipa,53682,12/01/2020,
Florida
Margate,58656,12/01/2020,
North Port,68628,12/01/2020,
Sarasota,57738,12/01/2020,
Vero Beach,17236,12/01/2020,
Kansas
Manhattan,54959,12/01/2020,
Michigan
Battle Creek,51247,12/01/2020,
Midland,41800,12/01/2020,
Rochester,13348,12/01/2020,
Saginaw,48323,12/01/2020,
New Jersey
Garfield,31866,12/01/2020,
Oklahoma
Bartlesville,36423,12/01/2020,
Tennessee
Johnson City,66778,12/01/2020,
California
Menlo Park,34549,12/22/2020,
